"foreach","ForEach-Object","","ReadOnly, AllScope"
"%","ForEach-Object","","ReadOnly, AllScope"
"where","Where-Object","","ReadOnly, AllScope"
"?","Where-Object","","ReadOnly, AllScope"
"ac","Add-Content","","ReadOnly, AllScope"
"clc","Clear-Content","","ReadOnly, AllScope"
"cli","Clear-Item","","ReadOnly, AllScope"
"clp","Clear-ItemProperty","","ReadOnly, AllScope"
"clv","Clear-Variable","","ReadOnly, AllScope"
"compare","Compare-Object","","ReadOnly, AllScope"
"cpi","Copy-Item","","ReadOnly, AllScope"
"cpp","Copy-ItemProperty","","ReadOnly, AllScope"
"cvpa","Convert-Path","","ReadOnly, AllScope"
"dbp","Disable-PSBreakpoint","","ReadOnly, AllScope"
"diff","Compare-Object","","ReadOnly, AllScope"
"ebp","Enable-PSBreakpoint","","ReadOnly, AllScope"
"epal","Export-Alias","","ReadOnly, AllScope"
"epcsv","Export-Csv","","ReadOnly, AllScope"
"fc","Format-Custom","","ReadOnly, AllScope"
"fl","Format-List","","ReadOnly, AllScope"
"ft","Format-Table","","ReadOnly, AllScope"
"fw","Format-Wide","","ReadOnly, AllScope"
"gal","Get-Alias","","ReadOnly, AllScope"
"gbp","Get-PSBreakpoint","","ReadOnly, AllScope"
"gc","Get-Content","","ReadOnly, AllScope"
"gci","Get-ChildItem","","ReadOnly, AllScope"
"gcm","Get-Command","","ReadOnly, AllScope"
"gdr","Get-PSDrive","","ReadOnly, AllScope"
"gcs","Get-PSCallStack","","ReadOnly, AllScope"
"ghy","Get-History","","ReadOnly, AllScope"
"gi","Get-Item","","ReadOnly, AllScope"
"gl","Get-Location","","ReadOnly, AllScope"
"gm","Get-Member","","ReadOnly, AllScope"
"gmo","Get-Module","","ReadOnly, AllScope"
"gp","Get-ItemProperty","","ReadOnly, AllScope"
"gpv","Get-ItemPropertyValue","","ReadOnly, AllScope"
"gps","Get-Process","","ReadOnly, AllScope"
"group","Group-Object","","ReadOnly, AllScope"
"gsv","Get-Service","","ReadOnly, AllScope"
"gu","Get-Unique","","ReadOnly, AllScope"
"gv","Get-Variable","","ReadOnly, AllScope"
"iex","Invoke-Expression","","ReadOnly, AllScope"
"ihy","Invoke-History","","ReadOnly, AllScope"
"ii","Invoke-Item","","ReadOnly, AllScope"
"ipmo","Import-Module","","ReadOnly, AllScope"
"ipal","Import-Alias","","ReadOnly, AllScope"
"ipcsv","Import-Csv","","ReadOnly, AllScope"
"measure","Measure-Object","","ReadOnly, AllScope"
"mi","Move-Item","","ReadOnly, AllScope"
"mp","Move-ItemProperty","","ReadOnly, AllScope"
"nal","New-Alias","","ReadOnly, AllScope"
"ndr","New-PSDrive","","ReadOnly, AllScope"
"ni","New-Item","","ReadOnly, AllScope"
"nv","New-Variable","","ReadOnly, AllScope"
"nmo","New-Module","","ReadOnly, AllScope"
"oh","Out-Host","","ReadOnly, AllScope"
"rbp","Remove-PSBreakpoint","","ReadOnly, AllScope"
"rdr","Remove-PSDrive","","ReadOnly, AllScope"
"ri","Remove-Item","","ReadOnly, AllScope"
"rni","Rename-Item","","ReadOnly, AllScope"
"rnp","Rename-ItemProperty","","ReadOnly, AllScope"
"rp","Remove-ItemProperty","","ReadOnly, AllScope"
"rmo","Remove-Module","","ReadOnly, AllScope"
"rv","Remove-Variable","","ReadOnly, AllScope"
"rvpa","Resolve-Path","","ReadOnly, AllScope"
"sal","Set-Alias","","ReadOnly, AllScope"
"sasv","Start-Service","","ReadOnly, AllScope"
"sbp","Set-PSBreakpoint","","ReadOnly, AllScope"
"sc","Set-Content","","ReadOnly, AllScope"
"select","Select-Object","","ReadOnly, AllScope"
"si","Set-Item","","ReadOnly, AllScope"
"sl","Set-Location","","ReadOnly, AllScope"
"sleep","Start-Sleep","","ReadOnly, AllScope"
"sort","Sort-Object","","ReadOnly, AllScope"
"sp","Set-ItemProperty","","ReadOnly, AllScope"
"saps","Start-Process","","ReadOnly, AllScope"
"start","Start-Process","","ReadOnly, AllScope"
"spps","Stop-Process","","ReadOnly, AllScope"
"spsv","Stop-Service","","ReadOnly, AllScope"
"sv","Set-Variable","","ReadOnly, AllScope"
"tee","Tee-Object","","ReadOnly, AllScope"
"write","Write-Output","","ReadOnly, AllScope"
"irm","Invoke-RestMethod","","ReadOnly, AllScope"
"iwr","Invoke-WebRequest","","ReadOnly, AllScope"
"asnp","Add-PSSnapIn","","ReadOnly, AllScope"
"gsnp","Get-PSSnapIn","","ReadOnly, AllScope"
"gwmi","Get-WmiObject","","ReadOnly, AllScope"
"iwmi","Invoke-WMIMethod","","ReadOnly, AllScope"
"ogv","Out-GridView","","ReadOnly, AllScope"
"ise","powershell_ise.exe","","ReadOnly, AllScope"
"rsnp","Remove-PSSnapin","","ReadOnly, AllScope"
"rwmi","Remove-WMIObject","","ReadOnly, AllScope"
"swmi","Set-WMIInstance","","ReadOnly, AllScope"
"shcm","Show-Command","","ReadOnly, AllScope"
"trcm","Trace-Command","","ReadOnly, AllScope"
"wget","Invoke-WebRequest","","AllScope"
"curl","Invoke-WebRequest","","AllScope"
"lp","Out-Printer","","AllScope"
"cat","Get-Content","","AllScope"
"cd","Set-Location","","AllScope"
"clear","Clear-Host","","AllScope"
"cp","Copy-Item","","AllScope"
"h","Get-History","","AllScope"
"history","Get-History","","AllScope"
"kill","Stop-Process","","AllScope"
"ls","Get-ChildItem","","AllScope"
"man","help","","AllScope"
"mount","New-PSDrive","","AllScope"
"md","mkdir","","AllScope"
"mv","Move-Item","","AllScope"
"popd","Pop-Location","","AllScope"
"ps","Get-Process","","AllScope"
"pushd","Push-Location","","AllScope"
"pwd","Get-Location","","AllScope"
"r","Invoke-History","","AllScope"
"rm","Remove-Item","","AllScope"
"rmdir","Remove-Item","","AllScope"
"echo","Write-Output","","AllScope"
"cls","Clear-Host","","AllScope"
"chdir","Set-Location","","AllScope"
"copy","Copy-Item","","AllScope"
"del","Remove-Item","","AllScope"
"dir","Get-ChildItem","","AllScope"
"erase","Remove-Item","","AllScope"
"move","Move-Item","","AllScope"
"rd","Remove-Item","","AllScope"
"ren","Rename-Item","","AllScope"
"set","Set-Variable","","AllScope"
"type","Get-Content","","AllScope"
"icm","Invoke-Command","","AllScope"
"clhy","Clear-History","","ReadOnly, AllScope"
"gjb","Get-Job","","AllScope"
"rcjb","Receive-Job","","AllScope"
"rjb","Remove-Job","","AllScope"
"sajb","Start-Job","","AllScope"
"spjb","Stop-Job","","AllScope"
"wjb","Wait-Job","","AllScope"
"sujb","Suspend-Job","","AllScope"
"rujb","Resume-Job","","AllScope"
"npssc","New-PSSessionConfigurationFile","","ReadOnly, AllScope"
"ipsn","Import-PSSession","","AllScope"
"epsn","Export-PSSession","","AllScope"
"cnsn","Connect-PSSession","","ReadOnly, AllScope"
"dnsn","Disconnect-PSSession","","ReadOnly, AllScope"
"nsn","New-PSSession","","AllScope"
"gsn","Get-PSSession","","AllScope"
"rsn","Remove-PSSession","","AllScope"
"etsn","Enter-PSSession","","AllScope"
"rcsn","Receive-PSSession","","ReadOnly, AllScope"
"exsn","Exit-PSSession","","AllScope"
"sls","Select-String","","None"
"CFS","ConvertFrom-String","","None"
"fhx","Format-Hex","","None"
"gcb","Get-Clipboard","","None"
"gin","Get-ComputerInfo","","None"
"gtz","Get-TimeZone","","None"
"scb","Set-Clipboard","","None"
"stz","Set-TimeZone","","None"
"gcim","Get-CimInstance","","ReadOnly, AllScope"
"scim","Set-CimInstance","","ReadOnly, AllScope"
"ncim","New-CimInstance","","ReadOnly, AllScope"
"rcim","Remove-cimInstance","","ReadOnly, AllScope"
"icim","Invoke-CimMethod","","ReadOnly, AllScope"
"gcai","Get-CimAssociatedInstance","","ReadOnly, AllScope"
"rcie","Register-CimIndicationEvent","","ReadOnly, AllScope"
"ncms","New-CimSession","","ReadOnly, AllScope"
"rcms","Remove-cimSession","","ReadOnly, AllScope"
"gcms","Get-CimSession","","ReadOnly, AllScope"
"ncso","New-CimSessionOption","","ReadOnly, AllScope"
"gcls","Get-CimClass","","ReadOnly, AllScope"
